id,source,target,capacity,isvalid,WKT
828,2065,2001,1000,True,"LINESTRING(13.3667747154831 49.6858398295424,13.3636960233053 49.6855263919521,13.3627006339596 49.6852257801913)"
3687,1803,1804,1800,False,"LINESTRING(13.3428955305256 49.7406838559079,13.3435387099276 49.7409213324755)"
8825,1804,1803,1800,False,"LINESTRING(13.3434356884045 49.7410385193817,13.3427925079559 49.7408010422377)"
8826,1805,1804,1400,False,"LINESTRING(13.3446034897172 49.7414689342657,13.3434357560337 49.7410385443299)"
2262,1901,326,1800,True,"LINESTRING(13.3365904558679 49.7383002495285,13.3366803033605 49.7383280112648,13.3368193070472 49.7383744553421,13.336865188381 49.7383880018101,13.3369628246682 49.7384168288467,13.3369676724772 49.738418359676,13.3371299268336 49.7384730114008)"
2298,409,410,1800,True,"LINESTRING(13.3468808175965 49.7426261962985,13.3474154594127 49.7427499995762)"
7400,327,326,1800,True,"LINESTRING(13.3375042593732 49.7387510956035,13.337078717031 49.7386077611607)"
7436,410,409,1800,True,"LINESTRING(13.3473454286735 49.7428770062041,13.3468107856359 49.7427532025994)"
9635,2647,2638,1600,True,"LINESTRING(13.3861151980408 49.7426378597926,13.3860635314379 49.7439453321483)"
9639,2652,2647,1600,True,"LINESTRING(13.3861378466433 49.7420649055804,13.3861151980154 49.7426378604365)"
4501,2647,2652,1600,True,"LINESTRING(13.385907144322 49.7426344063697,13.3859297954123 49.7420614515596)"
