id,WKT
1,"POINT(13.3498980080081 49.6721519179468)"
2,"POINT(13.3428168129772 49.6617104570937)"
3,"POINT(13.3426144901875 49.659765529815)"
4,"POINT(13.337539678426 49.6499082210275)"
5,"POINT(13.3449141743237 49.6621198711109)"
6,"POINT(13.3449726204374 49.6607315869722)"
7,"POINT(13.3452191460889 49.6605263555661)"
8,"POINT(13.3709542802323 49.667005252207)"
9,"POINT(13.3952089238884 49.6748559483312)"
10,"POINT(13.4171941814386 49.6811527303345)"
11,"POINT(13.4237483333715 49.682717365461)"
12,"POINT(13.4248058591399 49.6827331430145)"
13,"POINT(13.4413564920475 49.6890440134405)"
14,"POINT(13.4615413941809 49.6946123528533)"
15,"POINT(13.468294071747 49.6964104859864)"
16,"POINT(13.4733700848249 49.6977624262774)"
17,"POINT(13.4739894970532 49.694532304631)"
18,"POINT(13.4873770547002 49.691780042813)"
19,"POINT(13.5042195030458 49.6754386780894)"
20,"POINT(13.5014573751986 49.674045577264)"
21,"POINT(13.505217911718 49.6754900504576)"
22,"POINT(13.5444129276298 49.7078941545541)"
23,"POINT(13.587067188149 49.7333589972276)"
24,"POINT(13.5455850865365 49.7436176757179)"
25,"POINT(13.5602935225218 49.7490744405727)"
26,"POINT(13.5506144066846 49.7439825065408)"
27,"POINT(13.5816261670643 49.7419508357712)"
28,"POINT(13.3274260124337 49.7033510476768)"
29,"POINT(13.3266342708539 49.7016823262321)"
30,"POINT(13.5089924031979 49.7329507619048)"
31,"POINT(13.5039179213978 49.7210251357411)"
32,"POINT(13.5093774642903 49.7191050431301)"
33,"POINT(13.4702406160583 49.7293278414462)"
34,"POINT(13.4626531657631 49.7180300775254)"
35,"POINT(13.4630591242448 49.7076233149244)"
36,"POINT(13.4688351098604 49.7019978771667)"
37,"POINT(13.4454831263092 49.7120711484481)"
38,"POINT(13.443663262938 49.7135772004373)"
39,"POINT(13.4543082289658 49.7281783938891)"
40,"POINT(13.4490473042474 49.7289609032954)"
41,"POINT(13.4598921036704 49.7316982202206)"
42,"POINT(13.4617205241845 49.7323034004101)"
43,"POINT(13.4861640415955 49.7531606820677)"
44,"POINT(13.4870515264083 49.7524724944541)"
45,"POINT(13.5138877240919 49.7450027406441)"
46,"POINT(13.514998646856 49.7476273525441)"
47,"POINT(13.5093532234445 49.7371083488296)"
48,"POINT(13.5069441714226 49.738267865383)"
49,"POINT(13.5087764257291 49.738242394197)"
50,"POINT(13.507265704346 49.7389837914405)"
51,"POINT(13.5074746961821 49.7369005630043)"
52,"POINT(13.505955125909 49.7376297312745)"
53,"POINT(13.505233629663 49.7391492189513)"
54,"POINT(13.4789493461438 49.7459376150182)"
55,"POINT(13.4796230850124 49.7468090346187)"
56,"POINT(13.4779164004538 49.7471272679022)"
57,"POINT(13.4747317834007 49.7460802991909)"
58,"POINT(13.4772468000919 49.7449706494566)"
59,"POINT(13.484722441415 49.7561243465061)"
60,"POINT(13.4722584633841 49.756330745558)"
61,"POINT(13.4935715715868 49.7821031995579)"
62,"POINT(13.4908710673015 49.7914595724476)"
63,"POINT(13.4925255566309 49.7925828382113)"
64,"POINT(13.4959784053565 49.7925963534733)"
65,"POINT(13.4547014389971 49.8034885870982)"
66,"POINT(13.4520782724269 49.8047563946369)"
67,"POINT(13.432964338747 49.8092862765649)"
68,"POINT(13.4354853061525 49.8121206318805)"
69,"POINT(13.4605033466324 49.8017133483141)"
70,"POINT(13.4670299773162 49.8034428894391)"
71,"POINT(13.4212771795685 49.8084796610869)"
72,"POINT(13.3950410614329 49.8167953029401)"
73,"POINT(13.3941595312839 49.818271864967)"
74,"POINT(13.3899970826568 49.8233364289639)"
75,"POINT(13.3814974817212 49.8163851180197)"
76,"POINT(13.3305418872131 49.8209816488477)"
77,"POINT(13.3283000404419 49.8214688905331)"
78,"POINT(13.3040073928033 49.8121392728202)"
79,"POINT(13.3017399840857 49.8136993106264)"
80,"POINT(13.3040419836472 49.811354472243)"
81,"POINT(13.2943756593487 49.8055956631078)"
82,"POINT(13.2569888766113 49.8187592667854)"
83,"POINT(13.2519603320431 49.7979322859233)"
84,"POINT(13.2506453273254 49.7771178702748)"
85,"POINT(13.2505538954083 49.7745574919629)"
86,"POINT(13.269561666289 49.7753763006443)"
87,"POINT(13.2499520633693 49.7742002914067)"
88,"POINT(13.2492267850587 49.7643727705406)"
89,"POINT(13.2230620020625 49.7205354499582)"
90,"POINT(13.223223857251 49.7192012972492)"
91,"POINT(13.223461931116 49.7172329871274)"
92,"POINT(13.225847291974 49.6784797883046)"
93,"POINT(13.1992039778742 49.6551199217958)"
94,"POINT(13.2056420683505 49.6555050118454)"
95,"POINT(13.2817707821155 49.6558149159767)"
96,"POINT(13.2902163767307 49.654434460549)"
97,"POINT(13.3413997513484 49.6596579590898)"
98,"POINT(13.382815152969 49.6765443875649)"
99,"POINT(13.3824724514271 49.6754092586263)"
100,"POINT(13.3777365272592 49.6854152653931)"
101,"POINT(13.3816754079697 49.6779599569833)"
102,"POINT(13.4050959289201 49.6887129975492)"
103,"POINT(13.4164059850907 49.6858415270818)"
104,"POINT(13.4444819726062 49.6976505008375)"
105,"POINT(13.4616629545331 49.6968842498431)"
106,"POINT(13.5067995511217 49.7381584394656)"
107,"POINT(13.507424316098 49.7357636204214)"
108,"POINT(13.5025102752203 49.7323147871525)"
109,"POINT(13.5077025928227 49.734742553459)"
110,"POINT(13.4705876593782 49.7676238139598)"
111,"POINT(13.4829345229007 49.7754197634629)"
112,"POINT(13.4905546397962 49.7766576730264)"
113,"POINT(13.491198347038 49.7780868045469)"
114,"POINT(13.4955730874315 49.7774111355675)"
115,"POINT(13.4641121278247 49.7749731238203)"
116,"POINT(13.4603101282873 49.7737384578258)"
117,"POINT(13.489424022603 49.7907027173546)"
118,"POINT(13.4508615747536 49.8030410442319)"
119,"POINT(13.448320680624 49.7992283162084)"
120,"POINT(13.4388888507598 49.7958764915618)"
